76,8,55,2.0991,,2008-06-18 15:07:26,2008-06-18 15:07:26
77,8,5,12.0,,2008-06-18 15:07:26,2008-06-18 15:07:26
78,8,50,7.401,,2008-06-18 15:07:26,2008-06-18 15:07:26
79,8,19,0.493,T,2008-06-18 15:07:26,2008-06-18 15:07:26
80,9,56,3.23,T,2008-06-18 15:07:26,2008-06-18 15:07:26
81,9,25,58.5,,2008-06-18 15:07:26,2008-06-18 15:07:26
82,9,29,1.43,,2008-06-18 15:07:26,2008-06-18 15:07:26
83,9,6,13.21,,2008-06-18 15:07:26,2008-06-18 15:07:26
84,9,64,0.8,,2008-06-18 15:07:26,2008-06-18 15:07:26
85,9,34,19.4,,2008-06-18 15:07:26,2008-06-18 15:07:26
86,9,10,0.075,T,2008-06-18 15:07:26,2008-06-18 15:07:26
87,9,52,0.408,,2008-06-18 15:07:26,2008-06-18 15:07:26
88,9,48,0.31,,2008-06-18 15:07:26,2008-06-18 15:07:26
89,9,55,3.4153,,2008-06-18 15:07:26,2008-06-18 15:07:26
90,9,5,13.59,,2008-06-18 15:07:26,2008-06-18 15:07:26
91,9,50,7.15,,2008-06-18 15:07:26,2008-06-18 15:07:26
92,9,19,4.67,T,2008-06-18 15:07:26,2008-06-18 15:07:26
93,10,56,3.062,T,2008-06-18 15:07:26,2008-06-18 15:07:26
94,10,25,34.4,,2008-06-18 15:07:26,2008-06-18 15:07:26
95,10,29,3.1,,2008-06-18 15:07:26,2008-06-18 15:07:26
96,10,6,9.87,,2008-06-18 15:07:26,2008-06-18 15:07:26
97,10,64,0.3,,2008-06-18 15:07:26,2008-06-18 15:07:26
98,10,34,14.2,,2008-06-18 15:07:26,2008-06-18 15:07:26
99,10,10,0.039,T,2008-06-18 15:07:26,2008-06-18 15:07:26
100,10,52,0.252,,2008-06-18 15:07:26,2008-06-18 15:07:26
101,10,48,0.074,,2008-06-18 15:07:26,2008-06-18 15:07:26
102,10,55,1.2188,,2008-06-18 15:07:26,2008-06-18 15:07:26
103,10,5,9.107,,2008-06-18 15:07:26,2008-06-18 15:07:26
104,10,50,7.169,,2008-06-18 15:07:26,2008-06-18 15:07:26
105,10,19,0.321,,2008-06-18 15:07:26,2008-06-18 15:07:26
106,11,56,4.478,T,2008-06-18 15:07:26,2008-06-18 15:07:26
107,11,25,64.7,,2008-06-18 15:07:26,2008-06-18 15:07:26
108,11,64,0.5,,2008-06-18 15:07:26,2008-06-18 15:07:26
109,11,34,23.3,,2008-06-18 15:07:26,2008-06-18 15:07:26
110,11,52,0.43,,2008-06-18 15:07:26,2008-06-18 15:07:26
111,11,48,0.316,,2008-06-18 15:07:26,2008-06-18 15:07:26
112,11,55,3.4858,,2008-06-18 15:07:26,2008-06-18 15:07:26
113,11,5,15.16,,2008-06-18 15:07:26,2008-06-18 15:07:26
114,11,50,7.653,,2008-06-18 15:07:26,2008-06-18 15:07:26
115,11,19,3.694,T,2008-06-18 15:07:26,2008-06-18 15:07:26
116,12,56,3.942,T,2008-06-18 15:07:26,2008-06-18 15:07:26
117,12,25,64.6,,2008-06-18 15:07:26,2008-06-18 15:07:26
118,12,64,0.8,,2008-06-18 15:07:26,2008-06-18 15:07:26
119,12,34,22.0,,2008-06-18 15:07:26,2008-06-18 15:07:26
120,12,52,0.437,,2008-06-18 15:07:26,2008-06-18 15:07:26
121,12,48,0.342,,2008-06-18 15:07:26,2008-06-18 15:07:26
122,12,55,3.7576,,2008-06-18 15:07:26,2008-06-18 15:07:26
123,12,5,13.9,,2008-06-18 15:07:26,2008-06-18 15:07:26
124,12,50,7.7,,2008-06-18 15:07:26,2008-06-18 15:07:26
125,12,19,4.457,T,2008-06-18 15:07:26,2008-06-18 15:07:26
126,13,56,4.289,T,2008-06-18 15:07:26,2008-06-18 15:07:26
