id,name,description,waterbody_id,,,
1061,Nepisiguit River,Heath Steel Bridge middle site - north bank,33020,,,
1062,Nepisiguit River,Heath Steel Bridge upper site - north bank,33020,,,
1063,Nepisiguit River,Mouth of Forty Mile Brook lower site - north bank,33020,,,
1064,Nepisiguit River,Mouth of Forty Mile Brook upper site - north bank,33020,,,
1065,Nepisiguit River,Wedge Mine lower site - north bank,33020,,,
1066,Nepisiguit River,Wedge Mine upper site - north bank,33020,,,
1067,Nepisiguit River,Williamsons Camp lower site - north bank,33020,,,
1068,Nepisiguit River,Williamsons Camp upper site - south bank,33020,,,
1069,Nepisiguit River,Upper Canoe Landing Williamsons Camp - north bank,33020,,,
1070,Nepisiguit River,Mouth of 44 Mile Brook lower site - north bank,33020,,,
1071,Nepisiguit River,Mouth of 44 Mile Brook upper site - north bank,33020,,,
1072,Nepisiguit River,Mouth of Three Corner Lake Brook - north bank,33020,,,
1073,Nepisiguit River,Fogans Landing - north bank,33020,,,
1074,Nepisiguit River,Moody Brook site - north bank,33020,,,
1075,Nepisiguit River,Indian Falls Depot lower site - north bank,33020,,,
1076,Nepisiguit River,Indian Falls Depot upper site - north bank,33020,,,
1077,Nepisiguit River,Indian Falls Depot upper site - south bank,33020,,,
1078,Nepisiguit River,Emerys Gulch lower site - south bank,33020,,,
1079,Nepisiguit River,Emerys Gulch upper site - north bank,33020,,,
1080,Nepisiguit River,Emerys Gulch upper site - south bank,33020,,,
1081,Nepisiguit River,Little Elbow Landing lower site - north bank,33020,,,
1082,Nepisiguit River,Little Elbow Landing upper site - north bank,33020,,,
1083,Nepisiguit River,TV Tower Landing middle site - north bank,33020,,,
1084,Nepisiguit River,TV Tower Landing lower site - south bank,33020,,,
1085,Nepisiguit River,Seven Island Pool Landing - north bank,33020,,,
1086,Nepisiguit River,Blue Ledge Crossing upper site - north bank,33020,,,
1087,Nepisiguit River,Blue Ledge Crossing upper site - south bank,33020,,,
1088,Nepisiguit River,Governers Pool Landing upper site - south bank,33020,,,
1089,Nepisiguit River,Governers Pool Landing upper site - north bank,33020,,,
1090,Nepisiguit River,Bus Landing upper site - north bank,33020,,,
1091,Nepisiguit River,Bus Landing lower site - north bank,33020,,,
1092,Nepisiguit River,Popple Depot lower site - north bank,33020,,,
1093,Nepisiguit River,Popple Depot lower site - south bank,33020,,,
1094,Nepisiguit River,Popple Depot upper site - south bank,33020,,,
1095,Nepisiguit River,Mouth of Portage Brook lower site - north bank,33020,,,
1096,Nepisiguit River,Portage Brook upper site - south bank,33020,,,
1097,Nepisiguit River,Corkers Gulch lower site - south bank,33020,,,
1098,Nepisiguit River,Corkers Gulch upper site - north bank,33020,,,
1099,Nepisiguit River,Pentland Brook Landing lower site - south bank,33020,,,
1100,Nepisiguit River,Pentland Brook Landing upper site - north bank,33020,,,
1101,Nepisiguit River,Indian Falls lodge upper site - north bank,33020,,,
1102,Nepisiguit River,Alan Rocks Landing upper site - north bank,33020,,,
1103,Nepisiguit River,TV Tower Landing lower site - north bank,33020,,,
1104,Nepisiguit River,TV Tower Landing upper site - north bank,33020,,,
1105,Nepisiguit River,Governers Pool Landing lower site - south bank,33020,,,
1106,Nepisiguit River,Governers Pool Landing lower site - north bank,33020,,,
1107,Nepisiguit River,Corkers Gulch lower site - north bank,33020,,,
1108,Nepisiguit River,Corkers Gulch upper site - south bank,33020,,,
1109,Nepisiguit River,Pentland Brook Landing lower site - north bank,33020,,,
1110,Nepisiguit River,Bus Landing lower site - south bank,33020,,,
1111,Nepisiguit River,Bus Landing upper site - south bank,33020,,,
1112,Nepisiguit River,Pentland Brook Landing upper site - south bank,33020,,,
1113,Nepisiguit River,69 Mile Brook Landing lower site - south bank,33020,,,
1114,Nepisiguit River,69 Mile Brook Landing - north bank site,33020,,,
1115,Nepisiguit River,69 Mile Brook Landing upper site - south bank,33020,,,
1116,Nepisiguit River,McKewans Bridge lower site - north bank,33020,,,
1117,Nepisiguit River,McKewans Bridge upper site - north bank,33020,,,
1118,Nepisiguit River,McKewans Bridge lower site - south bank,33020,,,
1119,Nepisiguit River,McKewans Bridge upper site - south bank,33020,,,
1120,Nepisiguit River,Bench Landing - north bank site,33020,,,
1121,Nepisiguit River,Bench Landing - south bank site,33020,,,
1122,Nepisiguit River,Halfway Pool - north bank site,33020,,,
1123,Nepisiguit River,Cedar Landing lower site - south bank,33020,,,
1124,Nepisiguit River,Cedar Landing upper site - south bank,33020,,,
1125,Nepisiguit River,Orange Rock Landing - north bank,33020,,,
1126,Nepisiguit River,Orange Rock Landing - south bank,33020,,,
1127,Nepisiguit River,Flat Water Landing - north bank site,33020,,,
1128,Nepisiguit River,Blue Ledge Crossing lower site - south bank,33020,,,
1129,Nepisiguit River,Blue Ledge Crossing lower site - north bank,33020,,,
1130,Nepisiguit River,Alan Rocks Landing lower site - north bank,33020,,,
1131,Nepisiguit River,Mount Denis lower site - north bank,33020,,,
1132,Killarney Brook,Lower end 147m above Brookside Drive,54564,,,
1133,Killarney Brook,Lower end 117m above Brookside Drive,54564,,,
1134,Unnamed - Tributary B,Lower end is trail crossing, sampled up 100m.,54565,,
1135,Killarney Brook,Upper end is trail crossing, sampled down 100m through former beaver pond,54564,,
1136,Buttermilk Brook,Cains-Buttermilk,1012,,,
1137,Salmon Brook,Cains-Salmon Bk,1013,,,
1138,E Br Six Mile Brook,Cains-East Six Mile,1406,,,
1139,Six Mile Brook,Cains-Middle Six Mile,1401,,,
1140,W Br Six Mile Brook,Cains-West Six Mile,1470,,,
1141,Cains River,Cains-Camp Admerrill (Wades), above mouth of Cains,1000,,
1142,Little North Pole Brook,LSW-Little N.Pole,8111,,,
1143,Guagus Stream,LSW-Guagus,8622,,,
1144,Gill Brook,NW-Gill Bk,9737,,,
1145,Stoney Brook,NW-Stoney Bk,9713,,,
1146,Mountain Brook,NW-Mountain Bk,9850,,,
1147,S Br NW Miramichi River,NW-S., On Spruce Lake Road,9752,,
1148,N Br Tomogonops River,NW-N.Tomogonops, Rte. 425,10043,,
1149,NW Miramichi River,NW-Bill Grey Mtn, on Spruce Lake Road,9701,,
1150,Little River,NW-Little River,9874,,,
1151,Mountain Bk,SW-Mountain Bk, Grey Rapids Road,,,
1152,Gray Rapids Brook,SW-Grey Rapids Bk,917,,,
1153,Black Brook,SW-Black Bk,944,,,
1154,Moores Brook,SW-Moore's/Donley,2625,,,
1155,Crooked Bridge Brook,SW-Crooked Bridge,5713,,,
1156,Big Hole Brook,SW-Big Hole Bk,5708,,,
1157,N Br Betts Mill Brook,SW-N.Betts Mill Bk,2815,,,
1158,S Br Betts Mill Brook,SW-S.Betts Mill Bk,2827,,,
1159,Astles Brook,SW-Astles,,,,
1160,Doak Brook,SW-Doak Bk,2716,,,
1161,Mamies Brook,SW-Mamies, Behind Fair Grounds, Boiestown,,
1162,E Br Burnt Land Brook,SW-E. Burntland Bk,3012,,,
1163,Harris Brook,SW-Harris Bk,,,,
1164,Hudson Brook,SW-Hudson Bk, Lockstead Road,,,
1165,McKenzie Brook,SW-McKenzie Bk,935,,,
1166,Becket Brook,SW-Beckett's Bk,930,,,
1167,Unnamed Brook,SW-Salmon Bk #3, on Irving Road Holtville,5531,,
1168,Salmon Brook,SW-Salmon Bk #2, off Dungarvon Barrier Road,5518,,
1169,Morse Brook,SW-Morse Bk,5848,,,
1170,Slate Island Brook,SW-Slate Island,4505,,,
1171,Gilman Brook,SW-Gilman Bk,5202,,,
1172,Little Teague Brook,SW-Little Teague,3907,,,
1173,Elliott Brook,SW-Elliott Bk,3819,,,
1174,NW Miramichi River,NW Mir at Camp Adam (Back channel),9701,,,
1175,NW Miramichi River,NW Mir at Camp Adam Main Rvr.,9701,,,
1176,White Rapids Brook,White Rapids Bk, Rte 8, SW Mir,6218,
1177,S Br Hudson Brook,Hudson Bk, S Br, Lockstead Rd, SW Mir,
1178,Middle Br Hudson Brook,Hudson Bk, Middle Br, Lockstead Rd, SW Mir,
1179,N Br Hudson Brook,Hudson Bk, N Br, Lockstead Rd, SW Mir,
1180,Burnt Land Brook,Burntland Bk, Rte 8, SW Mir,3001,
1181,SW Miramichi River,SW Mir, below Doaktown Bdg, S shore,4300,
1182,SW Miramichi River,SW Mir, below Doaktown Bdg, channel,4300,
1183,Doak Brook,Doak Bk, behind church, SW Mir,2716,
1184,SW Miramichi River,SW Mir, mouth of Burntland Bk.,4300,,
1185,SW Miramichi River,SW Mir, Bill Vaughn Camp (Bloomfield Ridge),4300,,
1186,Salmon Brook,Salmon Bk, Salmon Bk Camp, SW Mir,5518,
1187,McBean Brook,McBain Bk, SW Mir,3442,,
1188,SW Miramichi River,SW Mir, Ed Munn Pool,4300,,
1189,SW Miramichi River,SW Mir, Dead Man Camp,4300,,
1190,SW Miramichi River,SW Mir, Ranger Camp,4300,,
1191,SW Miramichi River,SW Mir, Slate Is Camp,4300,,
1192,Cross Creek,Cross Creek, Joe Branch Rd, SW Mir,,
1193,Standish Brook,Standish Bk, SW Mir,3404,,
1194,McConnell Brook,McConnell Bk, SW Mir,6497,,
1195,Little Dungarvon River,Little Dungarvon, Holtville Rd, Dung,6465,
1196,Barracks Brook,Barracks Bk, S Br Sevogle,9210,,
1197,Travis Brook,Travis Bk, S Br Sevogle,9204,,
1198,Johnson Brook,Johnson Bk, S Br Sevogle,9198,,
1199,Little Sevogle River,Little Sevogle, NW Mir,9001,,
1200,McNeal Brook,MacNeil Bk, NW Mir,9008,,
1201,Juniper Brook,Juniper Brook, N BR SW Mir,4322,,
1202,Big Teague Brook,Big Teague Bk, S BR SW Mir,3904,,
1203,S Br SW Miramichi River,SW Mir, S Br, McBrine Bridge,3701,
1204,Crooked Brook,Crooked Brook Taudook,7770,,,
1205,County Line Brook,County Line Bk, Tuadook,7807,,
1206,Tuadook River,Tuadook Inlet,7701,,,
1207,Squaw Barren Brook,Squaw Barren Bk, Tuadook,7835,,
1208,NW Miramichi River,NW Miramichi Below Bill Grey Mt. Brook,9701,,,
1209,NW Miramichi River,NW Miramichi Mouth of Bill Grey Mt. Brook,9701,,,
1210,SW Miramichi River,Southwest Miramichi River between Rocky Bend and Gilman Bk.,4300,,,
1211,Rocky Brook,Below mouth of Hurd Brook,5301,,,
1212,Taxis River,Taxis River - above Hwy 625 bridge,3101,,,
1213,Dungarvon River,Dungarvon River at bridge approx 1 km above the mouth of McConnell Bk. (65 km above mouth),6401,,,
1214,Dungarvon River,Dungarvon River above bridge located near the mouth of Bamford Bk (57 km from the mouth),6401,,,
1215,Dungarvon River,Dungarvon River at Lower Falls just above the mouth of King Bk.(37 km above mouth),6401,,,
1216,Dungarvon River,Dungarvon River at Upper Salmon Hole above Salmon Hole (about 24 km above mouth),6401,,,
1217,Dungarvon River,Dungarvon River at Salmon Hole (approx. 13 km above mouth),6401,,,
1218,Dungarvon River,Dungarvon River at Old Dan Bugge Farm (2.4 km. upsteam of the mouth of the Dungarvon),6401,,,
1221,Cains River,Cains River at Ferguson's (Wades) Camp 0.8 km from mouth of Cains,1000,,,
1222,N Br SW Miramichi River,North Branch Southwest Miramichi River 150 m above wardens camp on Irvings private road near Juniper,4001,,,
1223,SW Miramichi River,SW Miramichi River on Juniper to Napadogan Rd. 400 m below Biggar Bk.,4300,,,
1224,S Br Renous River,South Renous River at Red Rock above bridge at km 55,6801,,,
1225,Renous River,Renous River at Matchetts lumber camp - road on left just above km 18 - above McGraw Bk,6300,,,
1227,NW Miramichi River,Northwest Miramichi River at Wayerton Bridge,9701,,,
1228,NW Miramichi River,Northwest Miramichi River across from Geyers Camp near the mouth of the Little Sevogle River,9701,,,
1229,NW Miramichi River,Northwest Miramichi River at 4 man lodge,9701,,,
1230,Portage River,Portage River near mouth above bridge at ford,10201,,,
1231,Portage River,Portage River upstream of bridge above Tozer Brook,10201,,,
1232,Little River,Little River below bridge 1 km above mouth,9874,,,
1233,Little River,Little River below ford about 1.4 km above mouth,9874,,,
1234,Little River,Little River below bridge approx. 7.6 km above mouth,9874,,,
1235,Sutherland Brook,Sutherland Brook above bridge on route 420,8825,,,
1236,NW Miramichi River,Northwest Miramichi River above the mouth of Wildcat Brook,9701,,,
1237,NW Miramichi River,Northwest Miramichi River above mouth of Little Sevogle River,9701,,,
1238,NW Miramichi River,Northwest Miramichi River below the Curventon counting fence,9701,,,
1239,NW Miramichi River,Northwest Miramichi River above the mouth of Trout Brook,9701,,,
1240,NW Miramichi River,Northwest Miramichi River above the mouth of Pat's Brook,9701,,,
1241,NW Miramichi River,Northwest Miramichi River at Allison Farm south side of river,9701,,,
1242,NW Miramichi River,Northwest Miramichi River at Allison Farm north side of river,9701,,,
1243,NW Miramichi River,Northwest Miramichi River just below Elbow Pool,9701,,,
1244,NW Miramichi River,Northwest Miramichi River at Stony Brook Crown Reserve,9701,,,
1245,NW Miramichi River,Northwest Miramichi River at Camp Adams (former FRB Camp Site),9701,,,
1246,NW Miramichi River,Northwest Miramichi River at Camp Craword (former Warden Camp Site),9701,,,
1249,Big Sevogle River,Big Sevogle River 0.5 km above Stillwater Pool,9104,,,
1250,N Br Big Sevogle River,North Branch Sevogle River above bridge on road by forestry camp,9376,,,
1251,S Br Big Sevogle River,South Branch Sevogle River above bridge below North Branch South Sevogle,9113,,,
1252,Little Sevogle River,Little Sevogle River above bridge on Mullin Stream Rd.,9001,,,
1253,Little Sevogle River,Little Sevogle River approx 1.6 km above McNeal Bk,9001,,,
1254,Little Sevogle River,Little Sevogle River approx 3.6 km above McNeal Bk,9001,,,
1255,LSW Miramichi River,LSW Miramichi River below bridge at Sillikers,7950,,,
1256,LSW Miramichi River,LSW Miramichi River above mouth of Park's Bk.,7950,,,
1257,LSW Miramichi River,LSW Miramichi River between Moose Landing and Smith Forks,7950,,,
1258,Catamaran Brook,Catamaran Bk. above bridge on Repap Rd.,7526,,,
1259,Renous River,Renous River above Crown Pt Bk,6300,,,
1260,Renous River,Renous River above McGraw Bk,6300,,,
1261,S Br Renous River,South Branch Renous River above Monaghan Bk,6801,,,
1262,Renous River,Renous River above the mouth of the Dungarvon River south side of river,6300,,,
1263,Renous River,Renous River above the mouth of the Dungarvon River north side of river,6300,,,
1264,Renous River,Renous River 3.2 km above Crown Pt Bk at Gator Crossing,6300,,,
1265,N Br Renous River,North Branch Renous River just above site # 54,7001,,,
1266,N Br Renous River,North Branch Renous River above bridge on Rte 108,7001,,,
1267,Dungarvon River,Dungarvon River above Russell and Swim Bridge,6401,,,
1268,Dungarvon River,Dungarvon River below Dungarvon Lake Bk.,6401,,,
1269,Dungarvon River,Dungarvon River below Furlong Bridge,6401,,,
1270,SW Miramichi River,Southwest Miramichi River about 0.4 km above Norrads Bridge (Bloomfield Ridge).,4300,,,
1271,SW Miramichi River,Southwest Miramichi River below the mouth of McBean Bk.,4300,,,
1272,SW Miramichi River,Southwest Miramichi River between Rocky Bend and Gilman Bk.,4300,,,
1273,SW Miramichi River,Southwest Miramichi River 1.6 km above Upper Blackville bridge,4300,,,
1274,SW Miramichi River,Southwest Miramichi River approx 2 km below Porter Cover bridge,4300,,,
1275,SW Miramichi River,Southwest Miramichi River above footbridge in McNamee,4300,,,
1276,SW Miramichi River,Southwest Miramichi River above bridge in Upper Blackville,4300,,,
1277,S Br SW Miramichi River,South Branch Southwest Miramichi River near Juniper,3701,,,
1278,SW Miramichi River,Southwest Miramichi River above the mouth of Burnthill Brook,4300,,,
1279,SW Miramichi River,Southwest Miramichi River below River View Haven Camp (Blissfield - Upper Blackville area),4300,,,
1280,SW Miramichi River,Southwest Miramichi River above the mouth of Bett's Mill Bk,4300,,,
1281,SW Miramichi River,Southwest Miramichi River about 1.2 km below Biggar Bk,4300,,,
1282,SW Miramichi River,Southwest Miramichi River below the mouth of Burnt Land Bk,4300,,,
1283,SW Miramichi River,Southwest Miramichi River at Russell Rapids below bridge at Doaktown,4300,,,
1284,Morse Brook,Morse Brook above bridge on Howard Rd.,5848,,,
1285,Morse Brook,Morse Brook at Prov. Park area on route #8 downstream of culvert,5848,,,
1286,Sabbies River,Sabbies River (Cains River tributary) at ford  1km above the mouth,1101,,,
1287,Cains River,Cains River  about 2.4 km below Shinnikburn,1000,,,
1288,Cains River,Cains River above the mouth of Six Mile Bk,1000,,,
1289,Cains River,Cains River below the mouth of Leighton Bk.,1000,,,
1290,Cains River,Cains River below bridge on Grand Lake Rd.,1000,,,
1291,Big Hole Brook,Big Hole Bk. near mouth in the Meadow Bk area,5708,,,
1292,Crooked Bridge Brook,Big Hole Bk. below bridge on Crook Bridge Bk Rd.(to Russell and Swim Bridge),5713,,,
1293,Big Hole Brook,Big Hole Bk. below culvert over N. Big Hole Bk.,5708,,,
1294,Betts Mill Brook,Bett's Mill Bk. near mouth below covered bridge,2801,,,
1295,Betts Mill Brook,Bett's Mill Bk. below forks of North and South branches,2801,,,
1296,Burnt Land Brook,Burntland Bk. near mouth above route #8 bridge,3001,,,
1297,Burnt Land Brook,Burntland Bk. 1.2 km below the mouth of Willow bk.,3001,,,
1299,Taxis River,Taxis River above the mouth of Lower Hayden Bk,3101,,,
1301,McBean Brook,McBean Bk. at mouth,3442,,,
1302,McBean Brook,McBean Bk below bridge approx 3.6 km from mouth,3442,,,
1303,Rocky Brook,Rocky Brook at Young Dam,5301,,,
1304,Rocky Brook,Rocky Bk. below the mouth of Hurd Bk.,5301,,,
1305,Rocky Brook,Rocky Bk. approx 0.8 km below Sprague Bk,5301,,,
1306,Rocky Brook,Rocky Bk. below bridge on Brown Lake Rd.,5301,,,
1307,Big Teague Brook,Teague Brook above bridge approx 1 km from mouth,3904,,,
1308,Big Teague Brook,Teague Brook approx 1 km above Little Teague Bk.,3904,,,
1309,Barnaby River,Barnaby River below old abutment for route #126 bridge,701,,,
1310,Barnaby River,Barnaby River below bridge on West Collette Rd.,701,,,
1311,Tomogonops River,Tomogonops River 6.4 km above mouth,10001,,,
1312,LSW Miramichi River,Little Southwest Miramichi River approx 1.5 km above Devils Bk (above Clellend's Pool - end of Halcomb Rd),7950,,,
1313,LSW Miramichi River,Little Southwest Miramichi River at Bluestone Lookout,7950,,,
1314,Shore Camp Brook,Shore Camp Brook approx 3 km from mouth (tributary of LSW Mirmaichi ),8701,,,
1315,Mullin Stream,Mullin Stream tributary of South Branch Sevogle River above bridge on Mullin Stream Rd.at the top of the gorge,9114,,,
1316,N Br Big Sevogle River,North Branch Sevogle River above bridge on road to Sheephouse Falls,9376,,,
1317,LSW Miramichi River,Little Southwest Miramichi River at Loggie Lodge by bridge on North Pole Stream Rd.,7950,,,
1318,W Br LSW Miramichi River,Northwest Branch Little Southwest Miramichi River in 1st riffle above bridge near Mocassin Lake,7901,,,
1319,W Br LSW Miramichi River,Northwest Branch Little Southwest Miramichi River above bridge near Mocassin Lake in riffle above 106.1,7901,,,
1320,Tuadook River,Tuadook River approx 50m above bridge on Repap Rd. (downstream of Tuadock Lake),7701,,,
1321,Tuadook River,Tuadock River upstream of bridge 100m above site 107.1,7701,,,
1322,N Br Big Sevogle River,North Branch Sevogle River headwater area at bridge on Fraser Burchill Rd,9376,,,
1324,Muzroll Brook,Muzroll Bk below bridge at mouth,2301,,,
1325,S Br Big Sevogle River,South Branch Sevogle River at Simpson's Landing,9113,,,
1326,S Br Big Sevogle River,"South Branch Sevogle River approx 0.5 km above Sheephouse Bk at the ""Narrows"" in riffle by bank",9113,,,
1327,S Br Big Sevogle River,"South Branch Sevogle River approx 0.5 km above Sheephouse Bk at the ""Narrows"" in run offshore of 112.1",9113,,,
1328,Tomogonops River,Tomogonops River above bridge near mouth,10001,,,
1329,N Br Tomogonops River,North Branch Tomogonops River on upper side of old rail line from Heath Steel,10043,,,
1330,NW Miramichi River,Northwest Miramichi River at Miners Bridge,9701,,,
1331,Renous River,Renous River below Pineville bridge,6300,,,
1332,Dungarvon River,Dungarvon River at M&M Whooper Lodge,6401,,,
1333,Bartholomew River,Bartholomew River below footbridge near Davis Landing Bk.,5901,,,
1334,Bartholomew River,Bartholomew River 1 km above Watson Bk. where road 1st meets river,5901,,,
1335,S Br Burnthill Brook,South Branch Burnthill Brook approx 5 km above N Branch Burnthill Bk.,4620,,,
1336,Clearwater Brook,Clearwater Brook below bridge on Irving forestry road to Deersdale,4901,,,
1337,Rocky Brook,Rocky Brook upper site on Irving Forest Road above barrier to anadromous salmon migration,5301,,,
1338,S Br Dungarvon River,Dungarvon River - South Branch at bridge on Rte 108 approx 3 km above the forks,6537,,,
1339,SW Miramichi River,Southwest Miramichi River at Dean Bar in front of camp,4300,,,
1340,Porter Brook,Porter Brook below the falls 200 m above the mouth,5614,,,
1341,N Br SW Miramichi River,North Branch Southwest Miramichi River above DNRE barrier,4001,,,
1342,S Br SW Miramichi River,South Branch Southwest Miramichi River above bridge in Juniper,3701,,,
1343,SW Miramichi River,Southwest Miramichi River above Deersdale bridge,4300,,,
1344,McKiel Brook,McKiel Bk. above 1st bridge from mouth,4401,,,
1345,S Br SW Miramichi River,South Branch Southwest Miramichi River below bridge at Foreston,3701,,,
1346,Barnaby River,Barnaby River above bridge on South Barnaby River Rd.,701,,,
1347,Northwest Millstream,Northwest Millstream approx. 500 m above bridge near mouth,10604,,,
1348,Northwest Millstream,Northwest Millstream below bridge on Chapel Island Rd.,10604,,,
1349,Bartholomew River,Bartholomew River upstream of Walsh Bk,5901,,,
1350,Bartholomew River,Bartholomew River - in Ledbetters Bk approx 2.4 km downstream from Fowlers Meadow Bk,5901,,,
1351,Bartholomew River,Bartholomew River - 2 km below forks of N and S branches,5901,,,
1352,S Br Bartholomew River,South Bartholomew River - downstream of bridge on Crooked Bridge Bk Rd.,5988,,,
1353,S Br Bartholomew River,South Bartholomew River upstream 4.4 km from mouth,5988,,,
1354,N Br Bartholomew River,North Bartholomew River upstream of Crooked Bridge Bk Rd.,6008,,,
1355,Bartholomew River,Bartholomew River - in Otter Bk approx 2.4 km downstream of Weaver Siding Rd,5901,,,
1357,Cave Brook,Cave Bk. tributatry of North Pole Stream in Christmas Mountains (site above barrier to salmon migration),8249,,,
1358,North Pole Stream,LSW Miramichi-North Pole Brook at Ramsey Lodge,8201,,,
1359,Lwr N Br LSW Miramichi River,Lower North Branch Little Southwest-Adams Crown Reserve,8501,,,
1360,Lwr N Br LSW Miramichi River,Lower North Branch Little Southwest-Bridge Pool-Aescalapius Club,8501,,,
1361,N Br Tomogonops River,North Branch Tomogonops River at bridge on Hwy 430,10043,,,
1362,N Br Tomogonops River,North Branch Tomogonops River at bridge on 1st road east off Rte 430 north of Heath Steel,10043,,,
1363,SW Miramichi River,Southwest Miramichi River above the mouth of the Bartholowmew River,4300,,,
1364,N Br Tomogonops River,North Branch Tomogonops River approx 1 km downstream of site 560 at end of logging rd.,10043,,,
1365,N Br Mullin Stream,North Branch Mullin Stream above bridge (site is inaccessable to anadromous salmon),9162,,,
1366,S Br Big Sevogle River,South Branch Sevogle-upper bridge at forks-100m upstream,9113,,,
1367,Dungarvon River,Dungarvon River at the mouth of McConnel Bk. (64 km. above mouth),6401,,,
1368,NW Miramichi River,Northwest Miramichi River above the mouth of Little River,9701,,,
1369,L S Br Renous River,Little South Branch Renous River - in riffle below washed out bridge just above the mouth,6832,,,
1370,Northwest Millstream,Northwest Millstream - below dam approx 3.2 km above the mouth of NW Millstream,10604,,,
1371,Ox Brook,Northwest Millstream - on Ox Brook just below bridge on the road to Bellefond,10628,,,
1372,Northwest Millstream,Northwest Millstream - below bridge on road between Telly Road Crossing and Bellefond,10604,,,
1373,Northwest Millstream,Northwest Millstream - below bridge on road in Bellefond,10604,,,
1374,Northwest Millstream,Northwest Millstream - 0.5 km above Cow Brook,10604,,,
1375,Northwest Millstream,Northwest Millstream - 1 km above bridge on Chapel Isalnd Rd.,10604,,,
1376,Northwest Millstream,Northwest Millstream - 1.6 km above site 160,10604,,,
1377,Bartholomew River,Bartholomew River - downstream of old spash dam below forks of North and South Bartholomew Rivers,5901,,,
1378,Bartholomew River,Bartholomew River - 4 km below Ledbetter's Bk - access through Weaver Siding,5901,,,
1379,Bartholomew River,Bartholomew River - below dam in Blackville (2.4 km below Watson Bk.),5901,,,
1380,Bartholomew River,Bartholomew River - in Otter Brook approx. 0.5 km upstream of mouth where road fords the brook,5901,,,
1381,Bartholomew River,Bartholomew River - above Ledbetters Bk approx. 1.6 km,5901,,,
1382,North Pole Stream,LSW Miramichi - North Pole Stream at the mouth of Sinclair Brook,8201,,,
1383,North Pole Stream,LSW Miramichi - North Pole Stream above the mouth of Lizzard Bk.,8201,,,
1384,North Pole Stream,LSW Miramichi - North Pole Sream in front of DNRE camp - approx 1 km upstream of bridge,8201,,,
1385,North Pole Stream,LSW Miramichi - North Pole Stream - approx 3.7 km upstream of bridge,8201,,,
1399,N Br Dungarvon River,Dungarvon River - North Branch at Halfway Inn - below bridge on Hwy # 108,6559,,,
1400,Dungarvon River,Dungarvon River - approx 0.5 km below forks of North and South Branches above gravel pit,6401,,,
1401,Dungarvon River,Dungarvon River - above DNRE barrier at Frying Pan Pool,6401,,,
1402,N Br SW Miramichi River,SW Miramichi River - North Branch above DNRE barrier at the mouth of Fifteen Mile Brook,4001,,,
1403,Big Sevogle River,Sevogle River - downstream of Camp McTurk where driveway 1st meets river,9104,,,
1404,Trout Brook,Trout Brook below bridge on Chapel Island Road,10453,,,
1408,Taxis River,Taxis River - above Route 625 bridge,3101,,,
1411,Muzroll Brook,Muzroll Brook downstream of Route 123 (Grand Lake Road)  - below north branch,2301,,,
1412,Renous River,Renous River above the Pineville bridge Bennie's Hill,6300,,,
1413,SW Miramichi River,Southwest Miramichi in Blackville just below the ford to Doctor's Island,4300,,,
1414,NW Miramichi River,Northwest Miramichi River at Bridge Pool (Crawford Stretch of Crown Reserve),9701,,,
1415,Cains River,Cains River growth site upstream of Shinnickburn by Vaughan Anthony's camp (below Six Mile Bk),1000,,,
1416,SW Miramichi River,Southwest Miramichi River across from Pond's Chalet,4300,,,
1417,Salmon Brook,Salmon Brook (below Rocky Brook) above bridge near mouth,5518,,,
1418,Little North Pole Brook,LSW Miramichi-Little North Pole Stream - downstream of culvert on North Pole Rd.,8111,,,
1419,Elliott Brook,Elliott Brook - 100m upstream of bridge near mouth,3819,,,
1420,Guagus Stream,Guagus Stream - below culvert across from Guagus Lake,8622,,,
1421,Clearwater Stream,Clearwater Brook (South Br. Sevogle) downstream of bridge on Chester Mines Road,9290,,,
1422,N Br Renous River,North Branch Renous River above bridge on Morran Lake Rd.,7001,,,
1425,Nepisiguit River,Above Split Rock Pool; via route 430 for 3.2 km from Chaleur Center,  turn left before railway overpass, 0.7 km to river.  The site is in between shor,33020,
1426,Nepisiguit River,Fence Site: Above Counting Fence.,33020,,,
1427,Nepisiguit River,Above Fence Site: 100 meters above Counting Fence on right shore.,33020,,,
1428,Nepisiguit River,Mouth of Pabineau Brook: Drive up to gravel road on Pabineau Road.  Site is on the right shore of Island below the mouth of Pabineau Brook.,33020,,,
1429,Nepisiguit River,Burnt Down A-Frame Cottage: 1.8 km above Pabineau Falls, between Island and shore above the cottage.,33020,,
1430,Nepisiguit River,Copper Mine Brook:  Approximately 2 km above gravel pit.,33020,,,
1431,Nepisiguit River,Below Chain of Rocks: Route 430 to intersection of Route 360 for 4.8 km to old Grand Falls Road.  Travel up road 3.4 km then exit road on the left,0,33020,,
1432,Nepisiguit River,Above Knights Brook: On the same road as 2B, go 3.2 km above 2B,  access road 0.1 km to river.  Site is upstream beside right side of Island.,33020,
1433,Nepisiguit River,Below Knights Brook: In the same area but below the brook on the right side of the river.,33020,,,
1434,Nepisiguit River,Jamieson's Camp: Below Knights Brook.,33020,,,
1435,Nepisiguit River,New site, above Black Meadow Pool, across from gravel pit.,33020,
1436,Pabineau River,Picnic Site: 3.2 km above the intersection of Pabineau Road and Route 430, up Pabineau Road to picnic site, site is above bridge.,34641,
