id,name,description,waterbody_id,,,
110,Bradford Cove Pond,,90330,,,
111,Brown Lake,,5325,,,
113,Brunswick Lake,,50890,,,
114,Buctouche River,,30383,,,
115,Buctouche River (Estuary),,30383,,,
116,Cains River Smolt Wheel,,1000,,,
117,California Lake,,34332,,,
118,Canoe Landing Lake,,34436,,,
119,Cassidy Lake,,67189,,,
120,Chamcook Lake,,21081,,,
121,Charlie Lake,,70676,,,
122,Charlo River Reservoir,,36092,,,
123,Chatham Reservoir,,610,,,
124,Christopher Brook,,12114,,,
125,Clark Lake,,32374,,,
126,Clark Lake,,50888,,,
127,Clear Lake,,22585,,,
128,Clear Lake,,21892,,,
129,Clearwater Brook,,4901,,,
130,Clearwater Stream,,9290,,,
131,Cocagne River,,30741,,,
132,Cocagne River (Estuary),,30741,,,
133,Costigan Lake,,81359,,,
134,County Line Lake,,79235,,,
135,Craig Lake,,21398,,,
136,Crawford Lake,,32471,,,
137,Crystal Lake,,23689,,,
138,Crystal Pond,,58434,,,
139,Cundy Lake,,23212,,,
140,Davidson Lake,,70410,,,
141,Dennis Stream,,39201,,,
142,Despres Lake,,1019,,,
143,Devils Back Lake,,5749,,,
144,Digdeguash Lake,,21483,,,
145,Dolan Lake,,67274,,,
146,Douglas Lake,,67392,,,
147,Dwellys Pond,,90335,,,
148,East Branch Lake,,40144,,,
149,East Branch Reservoir,,24052,,,
150,East Long Lake,,23294,,,
151,Eel Lake,,90202,,,
152,Eightmile Lake,,18654,,,
153,Elmtree River,,37581,,,
154,Estey Lake,,9073,,,
155,Étang Deuxieme-Sault,,74985,,,
157,First Eel Lake,,70967,,,
158,First Fish Lake,,5407,,,
159,First Lake,,74102,,,
161,Fish Lake,,54370,,,
162,Fisher Lakes,,67315,,,
163,Flowers Brook,,58440,,,
164,Folly Lake,,27842,,,
165,Forty Seven Lake,,6528,,,
166,Four Mile Lake,,32495,,,
167,Four Mile Lake,,5428,,,
168,French Fort Cove,,10944,,,
169,Gibson Lake,,21090,,,
170,Glasier Lake,,72802,,,
171,Goldsmiths Lake,,39440,,,
172,Goose Lake,,40275,,,
173,Gordon Meadow Brook,,33101,,,
174,Gounamitz Lake,,18290,,,
175,Gounamitz River,,17951,,,
176,Grand Lake,,57400,,,
177,Grand Manan,,,,,
178,Great Pond,,90285,,,
179,Green River,,73901,,,
180,Greenhill Lake,,54068,,,
181,Guagus Lake,,8624,,,
182,Gulquac Lake,,82330,,,
183,Hanson Long Lake,,23629,,,
184,Harris Lake,,6499,,,
185,Hartts Lake,,34129,,,
186,Harvey Lake,,21998,,,
187,Head Lake,,37084,,,
188,Hunter Lake,,32920,,,
189,Indian Lake,,85285,,,
190,Island Lake,,6636,,,
191,Island Lake,,13428,,,
192,Jacquet River,,36701,,,
193,Jenkins Lake,,64815,,,
194,Jerry Pond,,22531,,,
195,Joe Lake,,5412,,,
196,Kedgwick River,,18450,,,
197,Kent Lake,,30129,,,
198,Ketchum Brook,,64261,,,
199,Killarney Lake,,54802,,,
200,Knoll Spruce Lake,,34283,,,
201,Kouchibouguac River,,28641,,,
202,L Main Restigouche River,,16950,,,
203,La Coote Lake,,38658,,,
204,Lac Baker,,73121,,,
205,Lac Saint-Coeur,,41238,,,
206,Lac Thompson,,73040,,,
207,Lac Unique,,73181,,,
208,Lake Anthony,,22467,,,
210,Lake George,,70418,,,
211,Lake Glensevern,,90119,,,
212,Lake Utopia,,22488,,,
213,Ledbetters Brook,,5952,,,
214,Lily Lake,,67317,,,
215,Lily Lake,,50837,,,
216,Little Buctouche River,,30633,,,
217,Little Chamcook Lake,,21087,,,
218,Little Kedron Lake,,22115,,,
219,Little Lake,,90207,,,
